menu,page,route,operation,action_status,trigger_status,save_confirmation,request_method,normalized_path,query_fields,path_fields,body_fields,parameter_source,http_status,business_status,response_structure,permission_or_role,actual_side_effect,before_state,after_state,original_document_classification,original_document_name,original_document_source,current_classification,currently_used_by_ui,evidence,blocked_scope,blocked_reason
Member,Member List,/member-center/list,member_list:filter:Account Type:Regular Member,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time|tester,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[46:47]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Member Level:VIP0,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,GET|POST,/admin/member/list|/admin/sys/config/compliance/status,,,end_time|page|page_size|start_time|vip,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t]|object[effective_open|effective_reason|effective_status_msg],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[49:51]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:KYC Status:Pending,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|kyc_status|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[53:54]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Restricted Status:Risk,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time|sub_state,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[56:57]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Referrer Information:T1,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|risk_level|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[59:60]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:邀请人:Has inviter,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,page|page_size,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[62:63]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Level:Level 1,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|invite_level|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[65:66]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:filter:Lead Source:官方渠道,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,channel_promo_id|end_time|invite_level|page|page_size|start_time,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[68:69]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:combined_filter:text_plus_enum,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,invite_level|page|page_size|phone|state,visible form input/UI enum plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[71:72]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:Export bounded current-window result,CLICKED_NO_INTERFACE_EVIDENCE,NOT_OBSERVED,NOT_REQUIRED_NOT_ATTEMPTED,,,,,,page defaults/current bounded date window,,,,authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,not found in inventory for exact method/path,,,DOCUMENTED_UNVERIFIED,visible_control_or_route_only_no_new_network_proof,member-list-a-internal-read-scan.json network[90:90]; semantic DOM locator,member_list:Export bounded current-window result,Prior semantic click produced no captured request/response or download event; not retried per export policy
Member,Member List,/member-center/list,member_list:Batch query bounded synthetic no-match,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,page|page_size|phone|uid,Batch query members overlay; synthetic no-match input,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[108:110]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:pagination:page_size_change,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time,visible Ant pagination control plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[128:129]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:pagination:page_2,EXECUTED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,POST,/admin/member/list,,,end_time|page|page_size|start_time,visible Ant pagination control plus page defaults,200,true,object[d|page|page_size|summary|t],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,会员列表 - seven/double,后台/会员列表/会员列表 - seven-double.bru,MISCLASSIFIED,true,member-list-a-internal-read-scan.json network[129:130]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:row:XP Growth Log,OPENED_READ_ONLY,TRIGGERED_INTERFACE,NOT_APPLICABLE,GET,/admin/priv/check|/admin/vip/xp/list,end_at|page|page_size|path|start_at|uid,uid from selected row (in-memory only),,selected visible result row; raw identifier kept in browser memory only,200,true,object[d|summary|t]|object[rights],authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,documented admin endpoint,xp成长日志 - felix|权限检查,后台/VIP/xp成长日志 - felix.bru|后台/系统管理/权限管理/权限检查.bru,ACTIVE,true,member-list-a-internal-read-scan.json network[130:132]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:row:View Details,OPENED_READ_ONLY,NOT_TRIGGERED,NOT_APPLICABLE,,,,uid from selected row (in-memory only),,selected visible result row; raw identifier kept in browser memory only,,,,authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,not found in inventory for exact method/path,,,DOCUMENTED_UNVERIFIED,visible_control_or_route_only_no_new_network_proof,member-list-a-internal-read-scan.json network[135:135]; semantic DOM locator,,
Member,Member List,/member-center/list,member_list:row:Transfer,BLOCKED_DATA_SCOPE,NOT_TRIGGERED,NOT_APPLICABLE,,,,uid from selected row (in-memory only),,selected visible result row; raw identifier kept in browser memory only,,,,authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,not found in inventory for exact method/path,,,DOCUMENTED_UNVERIFIED,visible_control_or_route_only_no_new_network_proof,member-list-a-internal-read-scan.json network[0:0]; semantic DOM locator,member_list:row:Transfer,No A-line dedicated write member; control intentionally not clicked
Member,Member List,/member-center/list,member_list:row:Risk Control,BLOCKED_DATA_SCOPE,NOT_TRIGGERED,NOT_APPLICABLE,,,,uid from selected row (in-memory only),,selected visible result row; raw identifier kept in browser memory only,,,,authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,not found in inventory for exact method/path,,,DOCUMENTED_UNVERIFIED,visible_control_or_route_only_no_new_network_proof,member-list-a-internal-read-scan.json network[0:0]; semantic DOM locator,member_list:row:Risk Control,No A-line dedicated write member; control intentionally not clicked
Member,Member List,/member-center/list,member_list:row:Reset Password,BLOCKED_DATA_SCOPE,NOT_TRIGGERED,NOT_APPLICABLE,,,,uid from selected row (in-memory only),,selected visible result row; raw identifier kept in browser memory only,,,,authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,not found in inventory for exact method/path,,,DOCUMENTED_UNVERIFIED,visible_control_or_route_only_no_new_network_proof,member-list-a-internal-read-scan.json network[0:0]; semantic DOM locator,member_list:row:Reset Password,No A-line dedicated write member; control intentionally not clicked
Member,Member List,/member-center/list,member_list:row:Convert to Agent,BLOCKED_DATA_SCOPE,NOT_TRIGGERED,NOT_APPLICABLE,,,,uid from selected row (in-memory only),,selected visible result row; raw identifier kept in browser memory only,,,,authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,not found in inventory for exact method/path,,,DOCUMENTED_UNVERIFIED,visible_control_or_route_only_no_new_network_proof,member-list-a-internal-read-scan.json network[0:0]; semantic DOM locator,member_list:row:Convert to Agent,No A-line dedicated write member; control intentionally not clicked
Member,Member List,/member-center/list,member_list:row:Unblock,BLOCKED_DATA_SCOPE,NOT_TRIGGERED,NOT_APPLICABLE,,,,uid from selected row (in-memory only),,selected visible result row; raw identifier kept in browser memory only,,,,authenticated FAT main-admin; visible control allowed by current button permissions,none,read-only page/filter state,no business state change,not found in inventory for exact method/path,,,DOCUMENTED_UNVERIFIED,visible_control_or_route_only_no_new_network_proof,member-list-a-internal-read-scan.json network[0:0]; semantic DOM locator,member_list:row:Unblock,No A-line dedicated write member; control intentionally not clicked
