surface,top_menu,page_name,page_route,control_type,action_name,action_status,method,normalized_path,query_fields,path_fields,body_fields,parameter_source,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_category,original_name,original_source_file,classification,currently_used_by_ui,trigger_status,save_confirmation,evidence,blocked_scope
admin,Member Management,Bet Details,/member-center/detail/{uid},reset,Reset / Reset Data,CLICKED_READ_ONLY,POST,/admin/record/bet,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""a"",""d"",""fd"",""s"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bet Details,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[133],
admin,Member Management,Deposit Record,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,POST,/admin/finance/deposit/list,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""summary"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Deposit Record,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[157],
admin,Member Management,Deposit Record,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Deposit Record,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Deposit Record,/member-center/detail/{uid},page_size,page_size,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Deposit Record,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Deposit Record,/member-center/detail/{uid},reset,Reset / Reset Data,CLICKED_READ_ONLY,POST,/admin/finance/deposit/list,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""summary"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Deposit Record,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[159],
admin,Member Management,Deposit Record,/member-center/detail/{uid},export,export,TRIGGERED_INTERFACE,GET,/admin/finance/deposit/export,end_time | start_time | topic_id,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,false,"{""type"":""string"",""keys"":[],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Deposit Record,existing inventory/catalog comparison + live UI DOM,ACTIVE_FAILED,true,TRIGGERED_INTERFACE,NOT_REQUIRED_NOT_ATTEMPTED,record-flow-member-tab-readonly-deep-scan.json network[158],
admin,Member Management,Withdrawal Record,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,POST,/admin/finance/withdraw/list,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""summary"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Withdrawal Record,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[182],
admin,Member Management,Withdrawal Record,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Withdrawal Record,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Withdrawal Record,/member-center/detail/{uid},page_size,page_size,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Withdrawal Record,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Withdrawal Record,/member-center/detail/{uid},reset,Reset / Reset Data,CLICKED_READ_ONLY,POST,/admin/finance/withdraw/list,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""summary"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Withdrawal Record,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[183],
admin,Member Management,Withdrawal Record,/member-center/detail/{uid},export,export,CLICKED_NO_INTERFACE_CAPTURED,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Withdrawal Record,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,NO_INTERFACE_CAPTURED,NOT_REQUIRED_NOT_ATTEMPTED,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Bonus Log,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,GET,/admin/bonus/list,created_end_at | created_start_at | page | page_size | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""activity_names"",""d"",""summary"",""t""],""count"":0}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bonus Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[205],
admin,Member Management,Bonus Log,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bonus Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Bonus Log,/member-center/detail/{uid},page_size,page_size,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bonus Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Bonus Log,/member-center/detail/{uid},approved_order_count,Approved Order Count,CLICKED_READ_ONLY,POST,/admin/gameclass/list,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""list"",""page"",""page_size"",""s"",""t""],""count"":7}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bonus Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[206],
admin,Member Management,Bonus Log,/member-center/detail/{uid},approved_order_count,Approved Order Count,CLICKED_READ_ONLY,POST,/admin/game/search,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""ids"",""list"",""page"",""page_size"",""s"",""t""],""count"":5731}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bonus Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[207],
admin,Member Management,Bonus Log,/member-center/detail/{uid},reset,Reset / Reset Data,INTERACTION_ERROR,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bonus Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],TimeoutError: locator.click: Timeout 5000ms exceeded. Call log: - waiting for locator('.ant-tabs-tabpane-active:visible').last().locator('button').filter({ hasText: /^\s*(?:Re
admin,Member Management,Bonus Log,/member-center/detail/{uid},export,export,CLICKED_NO_INTERFACE_CAPTURED,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Bonus Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,NO_INTERFACE_CAPTURED,NOT_REQUIRED_NOT_ATTEMPTED,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Turnover Detail,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,GET,/admin/finance/turnover/list,end_time | page | page_size | start_time | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Turnover Detail,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[436],
admin,Member Management,Turnover Detail,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Turnover Detail,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Turnover Detail,/member-center/detail/{uid},page_size,page_size,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Turnover Detail,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Turnover Detail,/member-center/detail/{uid},export,export,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Turnover Detail,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Turnover Detail,/member-center/detail/{uid},change_record,异动记录,CLICKED_READ_ONLY,GET,/admin/finance/turnover/change/types,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""1"",""2"",""3""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Turnover Detail,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[437],
admin,Member Management,Turnover Detail,/member-center/detail/{uid},change_record,异动记录,CLICKED_READ_ONLY,GET,/admin/finance/turnover/change/list,end_time | page | page_size | start_time | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""t""],""count"":0}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Turnover Detail,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[438],
admin,Member Management,Turnover Detail,/member-center/detail/{uid},reset,Reset / Reset Data,INTERACTION_ERROR,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Turnover Detail,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],TimeoutError: locator.click: Timeout 5000ms exceeded. Call log: - waiting for locator('.ant-tabs-tabpane-active:visible').last().locator('button').filter({ hasText: /^\s*(?:Re
admin,Member Management,VIP Level Log,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,GET,/admin/member/vip/level/list,end_time | page | page_size | start_time | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""t""],""count"":2}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,VIP Level Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[461],
admin,Member Management,VIP Level Log,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,VIP Level Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,VIP Level Log,/member-center/detail/{uid},page_size,page_size,CHANGED_READ_ONLY,GET,/admin/member/vip/level/list,end_time | page | page_size | start_time | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""t""],""count"":2}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,VIP Level Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[462],
admin,Member Management,VIP Level Log,/member-center/detail/{uid},export,export,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,VIP Level Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,VIP Level Log,/member-center/detail/{uid},reset,Reset / Reset Data,CLICKED_READ_ONLY,GET,/admin/member/vip/level/list,end_time | page | page_size | start_time | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""t""],""count"":2}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,VIP Level Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[463],
admin,Member Management,XP Growth Log,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,GET,/admin/vip/xp/list,end_at | page | page_size | start_at | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""summary"",""t""],""count"":2}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,XP Growth Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[485],
admin,Member Management,XP Growth Log,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,XP Growth Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,XP Growth Log,/member-center/detail/{uid},page_size,page_size,CHANGED_READ_ONLY,GET,/admin/vip/xp/list,end_at | page | page_size | start_at | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""summary"",""t""],""count"":2}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,XP Growth Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[486],
admin,Member Management,XP Growth Log,/member-center/detail/{uid},reset,Reset / Reset Data,CLICKED_READ_ONLY,GET,/admin/vip/xp/list,end_at | page | page_size | start_at | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""summary"",""t""],""count"":2}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,XP Growth Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[487],
admin,Member Management,XP Growth Log,/member-center/detail/{uid},export,export,CLICKED_NO_INTERFACE_CAPTURED,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,XP Growth Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,NO_INTERFACE_CAPTURED,NOT_REQUIRED_NOT_ATTEMPTED,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Risk Control Log,/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,GET,/admin/member/risk/log,created_end_time | created_start_time | page | page_size | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Risk Control Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[510],
admin,Member Management,Risk Control Log,/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Risk Control Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Risk Control Log,/member-center/detail/{uid},page_size,page_size,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Risk Control Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Risk Control Log,/member-center/detail/{uid},export,export,CONTROL_NOT_PRESENT,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Risk Control Log,existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
admin,Member Management,Risk Control Log,/member-center/detail/{uid},reset,Reset / Reset Data,CLICKED_READ_ONLY,GET,/admin/member/risk/log,created_end_time | created_start_time | page | page_size | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""t""],""count"":null}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Risk Control Log,existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[511],
admin,Member Management,Login Logs (New),/member-center/detail/{uid},query_with_bounded_filters,Query / 查 询,CLICKED_READ_ONLY,GET,/admin/member/log/listv1,end_time | page | page_size | start_time | uid,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,200,true,"{""type"":""object"",""keys"":[""d"",""s"",""t""],""count"":1}",authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Login Logs (New),existing inventory/catalog comparison + live UI DOM,ACTIVE,true,,,record-flow-member-tab-readonly-deep-scan.json network[533],
admin,Member Management,Login Logs (New),/member-center/detail/{uid},page_2,page_2,CURRENT_FILTER_HAS_NO_PAGE_2,,,,,,Asia/Manila current day UI date controls; UI-provided enum/date/pagination controls,,,no request captured,authenticated FAT admin; rendered controls imply current role permission,none (read only),selected current-run member; no mutation,selected current-run member unchanged; no mutation,admin member detail records,Login Logs (New),existing inventory/catalog comparison + live UI DOM,DOCUMENTED_REACHABLE,,,,record-flow-member-tab-readonly-deep-scan.json network[none],
