route,action_type,action_name,status,before_route,after_route,overlay_opened,download_observed,endpoint_evidence,classification,side_effect,restoration,error
/,visible_control_audit,This week,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/,visible_control_audit,Last week,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/,visible_control_audit,This month,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/,visible_control_audit,Last month,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/,visible_control_audit,Copy,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/,visible_control_audit,Copy Link,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/,visible_control_audit,Promo Poster,VISIBLE_NOT_EXECUTED,/,/,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/a-member-list,visible_control_audit,Search / Query,VISIBLE_NOT_EXECUTED,/a-member-list,/a-member-list,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/betting-record,visible_control_audit,Search / Query,VISIBLE_NOT_EXECUTED,/betting-record,/betting-record,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
/commission-report,visible_control_audit,Search / Query,VISIBLE_NOT_EXECUTED,/commission-report,/commission-report,False,False,,DOCUMENTED_UNVERIFIED,none; control was not clicked,not applicable,Second and final authenticated context ended; no third login permitted. Visible-control gap retained explicitly.
