执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
jp-class-missing,ISOP-2043-C03,游戏类型线路报表：鉴权拒绝,游戏类型线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-class"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""missing""}}","游戏类型线路报表：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-class-invalid,ISOP-2043-C03,游戏类型线路报表：鉴权拒绝,游戏类型线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-class"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""invalid""}}","游戏类型线路报表：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-member-structure,ISOP-2043-C05,会员个人统计：响应与列表结构,会员个人统计,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-member"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999}}}","会员个人统计：响应与列表结构
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""",可执行
jp-member-jp,ISOP-2043-C05,会员个人统计：新增JP中奖字段与金额格式,会员个人统计,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-member"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""amount_fields"":[""jp_winning""]}}","会员个人统计：新增JP中奖字段与金额格式
query: http eq 200
query: body.status eq true
query: body.data.d rows_have_keys [""jp_winning""]
query: checks.amounts_valid eq true",可执行
jp-member-missing,ISOP-2043-C05,会员个人统计：鉴权拒绝,会员个人统计,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-member"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""missing""}}","会员个人统计：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-member-invalid,ISOP-2043-C05,会员个人统计：鉴权拒绝,会员个人统计,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-member"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""invalid""}}","会员个人统计：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-member-game-structure,ISOP-2043-C05,会员每日游戏统计：响应与列表结构,会员每日游戏统计,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-member-game"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999}}}","会员每日游戏统计：响应与列表结构
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""",可执行
jp-member-game-jp,ISOP-2043-C05,会员每日游戏统计：新增JP中奖字段与金额格式,会员每日游戏统计,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-member-game"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""amount_fields"":[""jp_winning""]}}","会员每日游戏统计：新增JP中奖字段与金额格式
query: http eq 200
query: body.status eq true
query: body.data.d rows_have_keys [""jp_winning""]
query: checks.amounts_valid eq true",可执行
jp-member-game-missing,ISOP-2043-C05,会员每日游戏统计：鉴权拒绝,会员每日游戏统计,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-member-game"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""missing""}}","会员每日游戏统计：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-member-game-invalid,ISOP-2043-C05,会员每日游戏统计：鉴权拒绝,会员每日游戏统计,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-member-game"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""invalid""}}","会员每日游戏统计：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-source,ISOP-2043-C09,JP中奖独立金额与汇总对账,JP中奖独立金额与汇总对账,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},见步骤,JP中奖独立金额与汇总对账,本轮仅新增字段/查询契约；源记录截止点和JP独立预期金额尚未冻结
