执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
bet-order-1,R30,普通注单类型筛选,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""order_type"":1},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""order_type"":1}}}","普通注单类型筛选；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.order_type_filter eq true",可执行
bet-order-2,R30,免费旋转注单类型筛选,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""order_type"":2},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""order_type"":2}}}","免费旋转注单类型筛选；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.order_type_filter eq true",可执行
bet-order-3,R30,Jackpot注单类型筛选,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""order_type"":3},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""order_type"":3}}}","Jackpot注单类型筛选；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.order_type_filter eq true",可执行
bet-settled,R24,已结算状态筛选,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""state"":""1""},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""state"":""1""}}}","已结算状态筛选；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.settle_time_range eq true
verify: checks.exclude_sports eq true
verify: checks.state_filter eq true",可执行
bet-millisecond-inclusive,"R16,R30",已知投注时刻的闭区间点查询,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788943654000,""end_time"":1788943654000,""node"":1},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788943654000,""end_time"":1788943654000,""node"":1}}}","已知投注时刻的闭区间点查询；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.node_filter eq true",可执行
bet-millisecond-before,"R16,R30",已知投注时刻前1毫秒查询,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788943653999,""end_time"":1788943653999,""node"":1},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788943653999,""end_time"":1788943653999,""node"":1}}}","已知投注时刻前1毫秒查询；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: value eq true",可执行
bet-millisecond-after,"R16,R30",已知投注时刻后1毫秒查询,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788943654001,""end_time"":1788943654001,""node"":1},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788943654001,""end_time"":1788943654001,""node"":1}}}","已知投注时刻后1毫秒查询；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: value eq true",可执行
bet-pagination,R18,历史窗口翻页全量合计与总数不变,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":5,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""valid""}
page2 [A] POST /admin/record/bet {""body"":{""page"":2,""page_size"":5,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""valid""}","翻页全量合计不变；查询不写业务数据
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
page2: http eq 200
page2: body.status eq true
page2: body.data type ""object""
page2: body.data.d type ""array""
page2: body.data.t type ""integer""
page2: body.data.s type ""integer""
page2: body.data.a.subtotal type ""object""
page2: body.data.a.total type ""object""
page2: body.data.a.total eq ""${total}""
page2: body.data.t eq ""${count}""",可执行
bet-auth-missing,R29,鉴权拒绝且无明细,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":5,""start_time"":1788796800000,""end_time"":1789142399999},""auth"":""missing""}","鉴权拒绝且无明细；查询不写业务数据
query: http eq 200
query: body.status eq false
query: body.data eq ""token""",可执行
bet-auth-invalid,R29,鉴权拒绝且无明细,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":5,""start_time"":1788796800000,""end_time"":1789142399999},""auth"":""invalid""}","鉴权拒绝且无明细；查询不写业务数据
query: http eq 200
query: body.status eq false
query: body.data eq ""token""",可执行
bet-empty,R19,空窗口记录为空,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":0,""end_time"":1},""auth"":""valid""}","空窗口记录为空；查询不写业务数据
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d count 0
query: body.data.t eq 0",可执行
game-bet-all,R30,投注时间查询全部类型,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/game {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999}}}","投注时间查询全部类型；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true",可执行
game-settle-default,R11,结算查询默认排除体育,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/game {""body"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999}}}","结算查询默认排除体育；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.settle_time_range eq true
verify: checks.exclude_sports eq true",可执行
game-node-1,R14,投注查询1线隔离,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/game {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""node"":1},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""node"":1}}}","投注查询1线隔离；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.node_filter eq true",可执行
game-node-2,R13,投注查询2线集合,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/game {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""node"":2},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""node"":2}}}","投注查询2线集合；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.node_filter eq true",可执行
